File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13Q1_061__250m_16_days_EVI_doy2024353000000_aid0001,_250m_16_days_EVI,aid0001,2024-12-18,1.0,0.3001,0.3001,"(0.3001,0.3001)",0.3001,0.0,0.0,0.3001,0.3001,0.3001,0.3001,0.3001
MOD13Q1_061__250m_16_days_EVI_doy2025001000000_aid0001,_250m_16_days_EVI,aid0001,2025-01-01,1.0,0.2859,0.2859,"(0.2859,0.2859)",0.2859,0.0,0.0,0.2859,0.2859,0.2859,0.2859,0.2859
MOD13Q1_061__250m_16_days_EVI_doy2025017000000_aid0001,_250m_16_days_EVI,aid0001,2025-01-17,1.0,0.5623,0.5623,"(0.5623,0.5623)",0.5623,0.0,0.0,0.5623,0.5623,0.5623,0.5623,0.5623
MOD13Q1_061__250m_16_days_EVI_doy2025033000000_aid0001,_250m_16_days_EVI,aid0001,2025-02-02,1.0,0.0779,0.0779,"(0.0779,0.0779)",0.0779,0.0,0.0,0.0779,0.0779,0.0779,0.0779,0.0779
MOD13Q1_061__250m_16_days_EVI_doy2025049000000_aid0001,_250m_16_days_EVI,aid0001,2025-02-18,1.0,0.6577,0.6577,"(0.6577,0.6577)",0.6577,0.0,0.0,0.6577,0.6577,0.6577,0.6577,0.6577
MOD13Q1_061__250m_16_days_EVI_doy2025065000000_aid0001,_250m_16_days_EVI,aid0001,2025-03-06,1.0,0.419,0.419,"(0.419,0.419)",0.419,0.0,0.0,0.419,0.419,0.419,0.419,0.419
MOD13Q1_061__250m_16_days_EVI_doy2025081000000_aid0001,_250m_16_days_EVI,aid0001,2025-03-22,1.0,0.2643,0.2643,"(0.2643,0.2643)",0.2643,0.0,0.0,0.2643,0.2643,0.2643,0.2643,0.2643
MOD13Q1_061__250m_16_days_EVI_doy2025097000000_aid0001,_250m_16_days_EVI,aid0001,2025-04-07,1.0,0.5196,0.5196,"(0.5196,0.5196)",0.5196,0.0,0.0,0.5196,0.5196,0.5196,0.5196,0.5196
MOD13Q1_061__250m_16_days_EVI_doy2025113000000_aid0001,_250m_16_days_EVI,aid0001,2025-04-23,1.0,0.5372,0.5372,"(0.5372,0.5372)",0.5372,0.0,0.0,0.5372,0.5372,0.5372,0.5372,0.5372
MOD13Q1_061__250m_16_days_EVI_doy2025129000000_aid0001,_250m_16_days_EVI,aid0001,2025-05-09,1.0,0.4765,0.4765,"(0.4765,0.4765)",0.4765,0.0,0.0,0.4765,0.4765,0.4765,0.4765,0.4765
MOD13Q1_061__250m_16_days_EVI_doy2025145000000_aid0001,_250m_16_days_EVI,aid0001,2025-05-25,1.0,0.5713,0.5713,"(0.5713,0.5713)",0.5713,0.0,0.0,0.5713,0.5713,0.5713,0.5713,0.5713
